ID|DOMAIN|FEATURE|USER_STORY|EXPECTED_BEHAVIOR|KEY_FILES|POTENTIAL_ISSUES|TEST_STATUS|ERRORS_FOUND|FIX_STATUS|RETEST_STATUS
CHAT-13|Chat Core|Model Availability Indicator|As a user, I want to know if a model requires a paid subscription, so that I can make an informed choice|Lock icon on unpaid for free users -> Crown on paid for subscribers -> tooltip with description|components/ModelSelect/ModelSelectItem.tsx, lib/ai/isFreeModel.ts|Tooltips cut off on mobile - should use portal positioning||||
CHAT-14|Chat Core|Maintenance State for Models|As a user, I want a message when no models are available, so that I know the service isn't fully broken|If availableModels empty, ModelSelectMaintenance renders instead of model list|components/ModelSelect/ModelSelectMaintenance.tsx|none observed||||
CHAT-15|Chat Core|Reasoning/Thinking Display|As a user, I want to see the AI's reasoning process, so that I understand how it arrived at the answer|ReasoningTrigger shows Thinking... while streaming, then first sentence -> Collapsible to hide|components/reasoning.tsx|Reasoning auto-closes 1s after streaming - too quick to read||||
CHAT-16|Chat Core|Markdown & Rich Content Rendering|As a user, I want responses to render with proper formatting, so that I can read code/lists/tables clearly|Response component uses markdown parser -> syntax highlighting -> proper spacing|components/VercelChat/markdown-components.tsx, components/VercelChat/ViewingMessage.tsx|none observed||||
CHAT-17|Chat Core|Tool Results Display|As a user, I want to see results from tool calls, so that I can see what actions the AI performed|Tool calls show skeleton while pending -> results render via getToolResultComponent map|components/VercelChat/ToolComponents.tsx|Dynamic imports slow on poor connections||||
SESS-01|Sessions|Session-based Chat Routing|As a user, I want chats scoped to sessions for the workflow architecture, so that conversations are isolated|Chat accepts sessionId -> useChatTransport -> routes to /api/chat/workflow if sessionId present, else /api/chat|app/sessions/[sessionId]/chats/[chatId]/page.tsx, hooks/useChatTransport.ts|Fallback to legacy path lacks type safety||||
SESS-02|Sessions|Session Storage & Persistence|As a user, I want my chat history saved, so that I can return to previous conversations|handleChatCompletion saves user + assistant messages via createMemories + generates room title|lib/chat/handleChatCompletion.ts, lib/supabase/createMemories|No loading indicator while messages persist||||
NAV-01|Sidebar & Navigation|Sidebar Expansion Toggle|As a user, I want to expand/collapse the sidebar, so that I can maximize chat space|Sidebar width animates 56px (collapsed) <-> 240px (expanded) on hover or pin toggle|components/Sidebar/Sidebar.tsx|Pin state not persisted - resets on page reload||||
NAV-02|Sidebar & Navigation|Sidebar Pin/Lock Feature|As a user, I want to pin the sidebar open, so that it stays expanded on mouse out|LogoRow shows Pin/Collapse button -> toggles isPinned -> sidebar stays open if pinned|components/Sidebar/LogoRow.tsx|Pin state stored in hook but should use localStorage||||
NAV-03|Sidebar & Navigation|New Chat Button|As a user, I want a quick button to start a new chat, so that I can quickly initiate conversations|NewChatButton renders New Chat when expanded, icon when collapsed -> onClick creates new chat|components/Sidebar/NewChatButton.tsx|Shows Sign In text when unauthenticated but clicking doesn't navigate to signin||||
NAV-04|Sidebar & Navigation|Recent Chats List|As a user, I want to see my recent conversations listed, so that I can jump back to previous chats|RecentChats fetches from API -> ChatItem list -> truncates names, highlights active chat|components/Sidebar/RecentChats/RecentChats.tsx|Loading skeleton shows even after first render - should memoize||||
NAV-05|Sidebar & Navigation|Chat Item Hover Actions|As a user, I want to quickly rename or delete chats from the list, so that I can manage conversations|ChatItem shows rename + delete menu on hover (or always on mobile) -> click to open modal|components/Sidebar/RecentChats/ChatItem.tsx|Menu can be covered by scrollbars on long lists||||
NAV-06|Sidebar & Navigation|Bulk Chat Selection & Deletion|As a user, I want to select multiple chats and delete at once, so that I can clean up efficiently|Shift+click range select -> SelectionModeHeader delete button -> bulk delete with progress|components/Sidebar/RecentChats/RecentChats.tsx, components/Sidebar/Modals/DeleteConfirmationModal.tsx|Shift+click selection doesn't work across scrollable boundaries||||
NAV-07|Sidebar & Navigation|Chat Rename Modal|As a user, I want to rename a chat with validation, so that I can keep conversations organized|RenameModal input -> validates on blur -> submit disabled if empty/invalid -> spinner on submit|components/Sidebar/Modals/RenameModal.tsx|Missing character limit indicator||||
NAV-08|Sidebar & Navigation|Chat Delete Confirmation|As a user, I want to confirm before deleting a chat, so that I don't accidentally lose conversations|DeleteConfirmationModal shows count + name -> progress bar for bulk -> error recovery|components/Sidebar/Modals/DeleteConfirmationModal.tsx|Error doesn't indicate which specific chats failed in bulk delete||||
NAV-09|Sidebar & Navigation|User Profile Button|As a user, I want to access my profile and settings from the sidebar, so that I can manage my account|UserProfileButton shows avatar + name (or org name) -> dropdown with profile/settings/logout|components/Sidebar/UserProfileButton.tsx|Initials sometimes clash with avatar image||||
NAV-10|Sidebar & Navigation|User Profile Dropdown|As a user, I want a dropdown menu with account options, so that I can access account features|Shows identity block + CreditsUsage + SettingsGroup + LogoutButton|components/Sidebar/UserProfileDropdown/UserProfileDropdown.tsx|none observed||||
NAV-11|Sidebar & Navigation|Organization/Workspace Context|As a user, I want to switch between organizations, so that I can work with different teams|UserProfileButton shows org name when org selected vs Personal when personal account|components/Sidebar/UserProfileDropdown/OrgSelector.tsx|Switching orgs doesn't always re-fetch data - stale state possible||||
NAV-12|Sidebar & Navigation|Logo & Home Navigation|As a user, I want to click the logo to return home, so that I can reset my view|LogoRow contains Link to "/" with Logo component|components/Sidebar/LogoRow.tsx|none observed||||
ART-01|Artists & Roster|View artists list|As a user, I want to view all my artists, so that I can manage my roster|Grid of artist cards with images and names in a responsive layout|app/artists/page.tsx, components/Artists/Artists.tsx, components/Artists/Artist.tsx, lib/artists/fetchArtists.ts|none observed||||
ART-02|Artists & Roster|Select/Switch artist context|As a user, I want to click an artist to select them as my working context, so that interactions are scoped to that artist|Artist cards clickable; selected artist stored in ArtistProvider context|components/Artists/Artist.tsx, providers/ArtistProvider.tsx|none observed||||
ART-03|Artists & Roster|Create new artist|As a user, I want to create a new artist, so that I can add them to my roster|Add New Artist button opens creation form with image, name, label, streaming URLs|components/Artists/Artists.tsx, components/ArtistSetting/Settings.tsx, components/CreateWorkspaceModal.tsx|none observed||||
ART-04|Artists & Roster|Edit artist details|As a user, I want to edit an artist's profile, so that I can keep their information current|Artist settings modal with tabs; general tab edits name, label, image, streaming URLs, socials|components/ArtistSetting/Settings.tsx, components/ArtistSetting/TabbedSettings.tsx, components/ArtistSetting/Inputs.tsx|Missing validation feedback for invalid streaming/social URLs||||
ART-05|Artists & Roster|Upload artist knowledge base|As a user, I want to upload files to an artist's knowledge base, so that the AI can reference them|File upload component click-or-drop; multiple file types with knowledge icons|components/ArtistSetting/KnowledgeSelect.tsx, components/ArtistSetting/Knowledges.tsx|none observed||||
ART-06|Artists & Roster|Remove knowledge base file|As a user, I want to delete specific files from an artist's knowledge base, so that I keep only relevant docs|Hover-revealed X button on each file removes it|components/ArtistSetting/Knowledges.tsx|none observed||||
ART-07|Artists & Roster|Set artist custom instructions|As a user, I want to add custom AI instructions for an artist, so that the AI responds in their brand voice|Textarea in artist settings for custom instructions added to AI system prompt|components/ArtistSetting/Inputs.tsx|none observed||||
ART-08|Artists & Roster|Delete artist|As a user, I want to delete an artist from my roster, so that I can remove archived/test artists|Delete button opens confirmation modal; right-click context menu provides alternate delete path|components/ArtistSetting/DeleteModal.tsx, components/Artists/DropDown.tsx, lib/artists/deleteArtist.ts|none observed||||
ART-09|Artists & Roster|Pin/unpin artist in sidebar|As a user, I want to pin frequently-used artists to the top, so that I can access them quickly|Artist cards have pin toggle; pinned appear at top sorted alphabetically|hooks/useArtistPinToggle.tsx, lib/artists/sortArtistsWithPinnedFirst.ts, hooks/useArtistPinRenderer.tsx|none observed||||
ART-10|Artists & Roster|View/copy artist ID|As a user, I want to see and copy my artist's unique ID, so that I can reference it elsewhere|Truncated artist ID (first 6 / last 6) with copy-to-clipboard button|components/ArtistSetting/AccountIdDisplay.tsx|none observed||||
ART-11|Artists & Roster|Connect artist to third-party services|As a user, I want to authorize connectors for an artist, so that the AI can act on those platforms|Connectors tab shows integrations with authorize/disconnect buttons|components/ArtistSetting/ArtistConnectorsTab.tsx, components/ConnectorsPage/ConnectorCard.tsx|none observed||||
ORG-01|Organizations & Workspace|Create organization|As a workspace admin, I want to create a new organization, so that I can group my team and artists|Modal with org name input and create button|components/Organization/CreateOrgModal.tsx, hooks/useCreateOrganization.ts|none observed||||
ORG-02|Organizations & Workspace|Edit organization details|As a workspace admin, I want to edit org name, image, instructions, so that I maintain the org profile|Org settings modal with image upload, name field, shared instruction textarea|components/Organization/OrgSettings.tsx|none observed||||
ORG-03|Organizations & Workspace|Upload organization knowledge base|As a workspace admin, I want to upload shared knowledge files, so that the AI references org-wide resources|File upload click-or-drop; files shared across all org members|components/Organization/OrgSettings.tsx|none observed||||
ORG-04|Organizations & Workspace|Remove organization knowledge file|As a workspace admin, I want to delete files from org knowledge base, so that shared resources stay current|X button on each file removes it|components/Organization/OrgSettings.tsx|none observed||||
ORG-05|Organizations & Workspace|Set organization instructions|As a workspace admin, I want shared instructions for the org, so that all members' AI reflects the org voice|Textarea for Organization Instructions; shared context for all members|components/Organization/OrgSettings.tsx|none observed||||
ORG-06|Organizations & Workspace|Add artist to organization|As a user, I want to add my artist to an organization, so that they can be managed at org level|Add to Organization button in artist settings; dropdown lists user's orgs|components/ArtistSetting/AddToOrgButton.tsx, components/ArtistSetting/OrganizationButton.tsx|Dropdown may not close on outside click; no loading state during op||||
ORG-07|Organizations & Workspace|Assign organization by email domain|As a workspace admin, I want domain users auto-assigned to my org, so that new team members are included|Auto assignment on login if user email domain matches org domain|lib/organizations/assignAccountToOrg.ts|none observed||||
ORG-08|Organizations & Workspace|Create workspace|As a user, I want to create a workspace, so that I can organize knowledge and tasks around a topic|Modal with two options: artist-style workspace or blank workspace via API|components/CreateWorkspaceModal.tsx|none observed||||
ORG-09|Organizations & Workspace|View/copy organization ID|As a workspace admin, I want to see and copy my org's unique ID, so that I can reference it elsewhere|Org ID displayed in settings with copy-to-clipboard button|components/Organization/OrgSettings.tsx|none observed||||
AGT-01|Agents|View agents grid|As a user, I want to browse available agents, so that I can find the right agent for my task|Grid of agent cards with title, description, tags, metadata; public/private filtering|components/Agents/Agents.tsx, components/Agents/AgentCard.tsx|none observed||||
AGT-02|Agents|Filter agents by tag|As a user, I want to filter agents by category tag, so that I can find agents for my use case|Clickable tag buttons; Recommended shows all; other tags filter by agent.tags|components/Agents/AgentTags.tsx, components/Agents/useAgentData.ts|Action tags filtered out from UI but undocumented||||
AGT-03|Agents|Toggle public/private agents|As a user, I want to see only my private or public agents, so that I can focus on what's relevant|Switch labeled Public/Private; filters grid_agents by is_private flag|components/Agents/Agents.tsx, components/Agents/useAgentData.ts|none observed||||
AGT-04|Agents|Create agent|As a user, I want to create a new agent template, so that I can set up custom agents|Create button opens dialog with form for title, description, prompt, tags, privacy|components/Agents/CreateAgentButton.tsx, components/Agents/CreateAgentDialog.tsx, components/Agents/CreateAgentForm.tsx|none observed||||
AGT-05|Agents|Edit agent|As an agent creator, I want to edit my agent's details, so that I can refine its behavior|Edit (pencil) on owned cards opens dialog with pre-filled form; only visible to creator|components/Agents/AgentEditDialog.tsx, components/Agents/CreateAgentForm.tsx|Shared email list updates may race on tight submission timing||||
AGT-06|Agents|Delete agent|As an agent creator, I want to delete my agent, so that I can remove outdated/test agents|Delete (trash) on owned cards; confirmation dialog; only visible to creator|components/Agents/AgentDeleteButton.tsx|none observed||||
AGT-07|Agents|Preview agent details|As a user, I want to view full details of a non-owned agent, so that I understand what it does before using|Info button opens dialog with title, description, prompt, tags, privacy, creator|components/Agents/AgentPreviewDialog.tsx|none observed||||
AGT-08|Agents|Use agent in chat|As a user, I want to click an agent card to start a chat with it, so that I can begin working with it|Agent card click navigates to /chat?q={encodeURIComponent(agent.prompt)}|components/Agents/Agents.tsx, components/Agents/AgentCard.tsx|none observed||||
AGT-09|Agents|Mark agent as favorite|As a user, I want to favorite agents I use frequently, so that I can quickly identify preferred ones|Heart icon toggles favorite; filled heart indicates favorited|components/Agents/AgentHeart.tsx, components/Agents/useAgentToggleFavorite.ts|none observed||||
AGT-10|Agents|Share agent via email|As an agent creator, I want to share my private agent with specific emails, so that only those users access it|Email input field; Share with (emails) section with add-by-Enter UI|components/Agents/EmailShareInput.tsx, components/Agents/PrivacySection.tsx|Invalid email validation silent (returns early); duplicate emails not prevented||||
AGT-11|Agents|Remove shared agent access|As an agent creator, I want to revoke access from a shared email, so that I can control who sees my private agent|X button on each shared email badge removes it|components/Agents/ExistingSharedEmailsList.tsx, components/Agents/NewEmailsList.tsx|Removal has no confirmation; immediate deletion without undo||||
AGT-12|Agent Templates|Fetch agent templates|As a user, I want my accessible agent templates loaded on page load, so that I can browse available agents|GET /api/agent-templates fetches user-accessible templates with shared email lists|app/api/agent-templates/route.ts, lib/agent-templates/fetchAgentTemplates.ts|Missing error handling for network failures; no retry||||
AGT-13|Agent Templates|Toggle agent favorite (API)|As a user, I want to mark/unmark agents as favorites, so that I can personalize my agent library|POST /api/agent-templates/favorites accepts templateId, userId, isFavourite; updates is_favourite|app/api/agent-templates/favorites/route.ts|none observed||||
AGT-14|Agent Templates|Validate agent form inputs|As a user, I want form validation feedback on agent creation, so that I know what's required|Zod validates title (3-50), description (10-200), prompt (20-10000), tags, isPrivate, shareEmails|components/Agents/schemas.ts|none observed||||
CAT-01|Catalogs|View catalog list|As an artist, I want to see all my catalogs at a glance, so that I can locate and manage collections|/catalogs loads grid of catalog cards via useCatalogs showing name, song count, creation date; click navigates to detail|app/catalogs/page.tsx, components/Catalog/CatalogsPage.tsx, components/Catalog/CatalogCard.tsx, hooks/useCatalogs.ts, lib/catalog/getCatalogs.ts|No empty state message (only "No catalogs found.")||||
CAT-02|Catalogs|View catalog songs|As an artist, I want to browse all songs in a catalog with pagination, so that I can review contents|/catalogs/[catalogId] loads songs via useCatalogSongs with infinite scroll; songs shown with metadata|app/catalogs/[catalogId]/page.tsx, components/Catalog/CatalogSongsPage.tsx, hooks/useCatalogSongs.ts, lib/catalog/getCatalogSongs.ts|none observed||||
CAT-03|Catalogs|Search catalog songs by ISRC|As an artist, I want to search songs by ISRC code, so that I can verify if a song exists|Enter ISRC -> Search calls useSearchIsrc -> getSongsByIsrc -> results override catalog view|components/Catalog/CatalogSongsPageContent.tsx, components/Search/Search.tsx, hooks/useSearchIsrc.ts, lib/catalog/getSongsByIsrc.ts|No explicit error state for invalid ISRC format||||
CAT-04|Catalogs|Upload songs via CSV|As an artist, I want to bulk upload songs via CSV, so that I can populate my catalog quickly|Select catalog -> Upload CSV -> parseCsvFile -> uploadBatchSongs -> progress bar shows status|components/VercelChat/tools/catalog/CatalogCsvUploadButton.tsx, hooks/useCatalogSongsFileSelect.ts, lib/catalog/parseCsvFile.ts, lib/catalog/uploadBatchSongs.ts|none observed||||
CAT-05|Catalogs|Filter catalog songs by artist|As an artist, I want to view only my songs in a shared catalog, so that I can identify my contributions|useArtistCatalogSongs filters by selectedArtist name; if no results, falls back to unfiltered|hooks/useArtistCatalogSongs.ts, hooks/useCatalogSongs.ts|Silent fallback may confuse users about why results changed||||
CAT-06|Catalogs|View song metadata|As an artist, I want detailed song metadata (title, artists, album, ISRC, notes), so that I can verify accuracy|CatalogSongRow shows title, formatted artists, album, ISRC, notes; notes expandable on click|components/VercelChat/tools/catalog/CatalogSongRow.tsx, lib/catalog/formatArtists.ts|none observed||||
CAT-07|Catalogs|Filter incomplete songs|As an artist, I want to hide songs with missing metadata, so that I can focus on complete entries|Toggle Hide incomplete items; isCompleteSong checks required fields; incomplete removed from view|components/VercelChat/tools/catalog/HideMissingItemsToggle.tsx, lib/catalog/isCompleteSong.ts|No indication of what fields are required for completeness||||
CAT-08|Catalogs|Display catalog song summary|As an artist, I want summary stats (total added, pagination), so that I understand the scope|InsertCatalogSongsSummary shows total added and pagination details|components/VercelChat/tools/catalog/InsertCatalogSongsSummary.tsx|none observed||||
FAN-01|Fans|View all fans|As an artist, I want to see all my fans grouped by avatar availability, so that I understand my fanbase|/fans loads fans via useArtistFans with auto-pagination (500ms delay); splits into with-avatars (sorted by followers) and without|app/fans/page.tsx, components/Fans/FansWrapper.tsx, hooks/useArtistFans.ts, lib/fans/fetchArtistFans.ts|No selected-artist error handling explicitly mentioned||||
FAN-02|Fans|View fans with avatars|As an artist, I want fan avatars in a grid, so that I can visually identify engaged followers|Fans.tsx displays avatars in responsive grid (5-10 cols); FanAvatar hover shows username + follower count|components/Fans/Fans.tsx, components/Fans/FanAvatar.tsx|none observed||||
FAN-03|Fans|View fans without avatars|As an artist, I want to see fans without profile pictures, so that I don't miss engaging with them|FansList renders fans without avatars in 1-3 col grid; clickable card with username link, followers, region, bio|components/Fans/FansList.tsx|none observed||||
FAN-04|Fans|Hover fan details|As an artist, I want fan info without leaving the page, so that I can quickly review multiple fans|FanAvatar hover overlay (desktop) with username + follower count; mobile sees avatar only|components/Fans/FanAvatar.tsx|Mobile users cannot access hover info (a11y gap)||||
FAN-05|Fans|Sort fans by engagement|As an artist, I want most engaged fans first, so that I can prioritize outreach|FansWrapper sorts both groups by follower_count desc; useArtistFans fetches all pages then sorts|components/Fans/FansWrapper.tsx|No loading indicator during auto-pagination||||
FAN-06|Fans|View fan profile|As an artist, I want to click a fan to visit their profile, so that I can learn more about them|FanAvatar and FansList render links to fan.profile_url with target=_blank|components/Fans/FanAvatar.tsx, components/Fans/FansList.tsx|Verify noopener/noreferrer on external links||||
POST-01|Posts|View artist posts|As an artist, I want to see all my social posts in one place, so that I can monitor my cross-platform presence|/posts loads via useArtistPosts (20/page) sorted by updated_at desc; 3-col grid desktop|app/posts/page.tsx, components/Posts/PostsWrapper.tsx, hooks/useArtistPosts.ts, lib/recoup/fetchPosts.ts|none observed||||
POST-02|Posts|View post platform and date|As an artist, I want to see each post's platform and date, so that I can track my timeline|PostCard header shows platform (Twitter/TikTok/IG/FB/YouTube/Unknown) and formatted date|components/Posts/PostCard.tsx|none observed||||
POST-03|Posts|Embed Twitter posts|As an artist, I want embedded tweets on the page, so that I don't need to leave the app|TwitterEmbed loads widgets.js, extracts tweet ID, createTweet; handles x.com and twitter.com|components/Posts/embeds/TwitterEmbed.tsx|none observed||||
POST-04|Posts|Embed TikTok posts|As an artist, I want embedded TikTok videos, so that I can view video content inline|TikTokEmbed loads embed.js, extracts video ID, renders blockquote with data-video-id|components/Posts/embeds/TikTokEmbed.tsx|1000ms timeout fixed delay; fallback link if invalid||||
POST-05|Posts|Embed Instagram posts|As an artist, I want embedded Instagram posts, so that I can view content inline|InstagramEmbed renders iframe to instagram.com/p/[postId]/embed; handles load/error|components/Posts/embeds/InstagramEmbed.tsx|none observed||||
POST-06|Posts|Fallback post links|As an artist, if embeds fail I want a clickable link, so that I can still view content|All embeds provide external link fallback with View [Platform] button|components/Posts/embeds/TwitterEmbed.tsx, TikTokEmbed.tsx, InstagramEmbed.tsx, GenericEmbed.tsx|none observed||||
POST-07|Posts|Lazy load post embeds|As an artist, I want posts to load as I scroll, so that the page loads faster|PostCard useInView (300px rootMargin) renders placeholder until in view then loads embed|components/Posts/PostCard.tsx|none observed||||
POST-08|Posts|Infinite scroll posts|As an artist, I want more posts auto-loaded as I scroll, so that I don't click Load More|Posts sets observer on LoadMorePosts; fetchNextPage on enter view with 100ms tracking|components/Posts/Posts.tsx|none observed||||
POST-09|Posts|Handle missing post content|As an artist, if post data is incomplete I want a generic fallback, so that the page doesn't break|GenericEmbed capitalizes platform name and provides link; Unknown shows as Post|components/Posts/embeds/GenericEmbed.tsx|none observed||||
FILE-01|Files|Upload files (drag-drop)|As an agent owner, I want to drag-and-drop files to upload, so that I can manage knowledge base files|/files SandboxFileTree drag-drop zone; useSandboxFileDrop.mutate; uploadSandboxFiles to API; max 100 files/100MB|app/files/page.tsx, components/Sandboxes/SandboxFileTree.tsx, components/Sandboxes/SandboxDropZone.tsx, hooks/useSandboxFileDrop.ts, lib/sandboxes/uploadSandboxFiles.ts|none observed||||
FILE-02|Files|Browse file tree|As an agent owner, I want to see files in a tree, so that I can navigate folders and files|FileTree renders nested FileNodeComponent; click to select/expand; empty shows NoSandboxFiles|components/Sandboxes/SandboxFileTree.tsx, components/Sandboxes/FileNodeComponent.tsx|none observed||||
FILE-03|Files|View file content|As an agent owner, I want to preview files inline (text/image/markdown), so that I can review content|Click file -> useSandboxFileContent -> getFileContents -> FilePreview renders text/markdown/image or "not available"|components/Sandboxes/SandboxFilePreview.tsx, components/Files/FilePreview.tsx, hooks/useSandboxFileContent.ts, lib/sandboxes/getFileContents.ts|none observed||||
FILE-04|Files|Edit file content|As an agent owner, I want to edit text files directly, so that I can modify knowledge base content|FileEditor renders textarea with content; shows lines/words/characters stats|components/Files/FileEditor.tsx|Read-only preview; no save/edit capability shown in current UI||||
FILE-05|Files|View image files|As an agent owner, I want to see images in my files, so that I can verify visual content|FilePreview detects imageUrl, renders img with max-width/height; alt=filename|components/Files/FilePreview.tsx|none observed||||
SRCH-01|Search|Search input with clear button|As a user, I want to clear my search input easily, so that I can start a new search|Search shows X button when input has value and showClearButton; onClick calls onClear|components/Search/Search.tsx|none observed||||
SRCH-02|Search|Search form submission|As a user, I want to search by Enter or button, so that I have flexible input methods|onKeyDown Enter; onSubmit prevents default and calls onSearch; button disabled if empty|components/Search/Search.tsx|none observed||||
SBX-01|Sandboxes|Create sandbox|As a developer, I want to create a new sandbox environment, so that I can test code in isolation|Provision sandbox via Git repo clone URL + session ID via POST /api/sandbox (recoup-api)|app/sandboxes/page.tsx, lib/sandboxes/createSandbox.ts, hooks/useSandboxes.ts|none observed||||
SBX-02|Sandboxes|View sandbox list|As a user, I want to see all my created sandboxes, so that I can manage them|List with ID, status (pending/running/stopping/stopped/failed), creation time, color-coded indicators|app/sandboxes/page.tsx, components/Sandboxes/SandboxesPage.tsx, components/Sandboxes/SandboxList.tsx, components/Sandboxes/SandboxListCard.tsx|none observed||||
SBX-03|Sandboxes|View file tree|As a developer, I want to browse the repo file structure, so that I can navigate the codebase|Hierarchical file tree with folders/files; click-to-select for preview|components/Sandboxes/SandboxFileTree.tsx, components/Sandboxes/FileNodeComponent.tsx, lib/sandboxes/parseFileTree.ts|none observed||||
SBX-04|Sandboxes|Preview file content|As a developer, I want to see file contents, so that I can review code and assets|Displays text content or image preview based on file type; scrollable area|components/Sandboxes/SandboxFilePreview.tsx, components/Files/FilePreview.tsx|none observed||||
SBX-05|Sandboxes|Upload files|As a developer, I want to upload files to my sandbox, so that I can add new assets or code|Drag-drop zone up to 100 files (100MB each); uploaded to repo via recoup-api|components/Sandboxes/SandboxDropZone.tsx, components/Sandboxes/NoSandboxFiles.tsx, hooks/useSandboxFileDrop.ts, lib/sandboxes/uploadSandboxFiles.ts|No max file size validation feedback in UI||||
SBX-06|Sandboxes|Delete sandbox|As a user, I want to delete a sandbox, so that I can clean up unused environments|Confirmation dialog; DELETE to recoup-api; deletes GitHub repo and snapshot|components/Sandboxes/SandboxDeleteButton.tsx, hooks/useDeleteSandbox.ts, lib/sandboxes/deleteSandbox.ts|none observed||||
TASK-01|Tasks & Runs|View all tasks|As a user, I want to see all scheduled tasks, so that I can manage them|List with title, schedule (cron), next run time, owner email, active/paused status|app/tasks/page.tsx, components/TasksPage/TasksPage.tsx, components/TasksPage/TasksList.tsx, hooks/useScheduledActions.ts|none observed||||
TASK-02|Tasks & Runs|View recent runs|As a user, I want to see recent task executions, so that I can monitor activity|Lists recent runs with status badges, timestamps, duration; last 20 runs|components/TasksPage/RecentRunsList.tsx, components/TasksPage/RunCard.tsx, hooks/useTaskRuns.ts, lib/tasks/getTaskRuns.ts|none observed||||
